[2025-11-01 19:04:22] MSE=0.0000, ACC=0.0000
[2025-11-01 19:17:51] MSE=0.0000, ACC=0.0000
[2025-11-01 19:29:28] MSE=0.0000, ACC=0.0000
[2025-11-01 19:29:58] MSE=0.0000, ACC=0.0000
[2025-11-01 19:30:28] MSE=0.0000, ACC=0.0000
[2025-11-01 19:30:58] MSE=0.0000, ACC=0.0000
[2025-11-01 19:31:28] MSE=0.0000, ACC=0.0000
[2025-11-01 19:31:58] MSE=0.0000, ACC=0.0000
[2025-11-01 19:32:28] MSE=0.0000, ACC=0.0000
[2025-11-01 19:32:58] MSE=0.0000, ACC=0.0000
[2025-11-01 19:33:34] MSE=0.2783, ACC=0.5000
[2025-11-01 19:34:04] MSE=0.2783, ACC=0.5000
[2025-11-01 19:34:34] MSE=0.2783, ACC=0.5000
[2025-11-01 19:35:04] MSE=0.2783, ACC=0.5000
[2025-11-01 19:35:34] MSE=0.2783, ACC=0.5000
[2025-11-01 19:36:04] MSE=0.2783, ACC=0.5000
[2025-11-01 19:36:34] MSE=0.2783, ACC=0.5000
[2025-11-01 19:37:05] MSE=0.2783, ACC=0.5000
[2025-11-01 19:37:35] MSE=0.2783, ACC=0.5000
[2025-11-01 19:38:05] MSE=0.2783, ACC=0.5000
[2025-11-01 19:38:09] MSE=0.0000, ACC=0.0000
[2025-11-01 19:38:39] MSE=0.0000, ACC=0.0000
[2025-11-01 19:39:09] MSE=0.0000, ACC=0.0000
[2025-11-01 19:39:39] MSE=0.0000, ACC=0.0000
[2025-11-01 19:39:46] MSE=0.0000, ACC=0.0000
[2025-11-01 19:40:16] MSE=0.0000, ACC=0.0000
