date,open,high,low,close,volume,pct_change,target,symbol
27-11-2007,770,1050,770,962.9,27294366,,0,ADANIPORTS
28-11-2007,984,990,874,893.9,4581338,-0.071658532,0,ADANIPORTS
29-11-2007,909,914.75,841,884.2,5124121,-0.010851326,0,ADANIPORTS
30-11-2007,890,958,890,921.55,4609762,0.042241574,1,ADANIPORTS
03-12-2007,939.75,995,922,969.3,2977470,0.051814877,1,ADANIPORTS
04-12-2007,985,1056,976,1041.45,4849250,0.074435159,1,ADANIPORTS
05-12-2007,1061,1099.5,1050,1082.45,2848209,0.039368189,1,ADANIPORTS
06-12-2007,1089,1109.7,1051,1081.3,1749516,-0.001062405,0,ADANIPORTS
07-12-2007,1100,1134,1078,1102.4,2247904,0.019513549,1,ADANIPORTS
10-12-2007,1110,1110,1061.1,1075.4,1012350,-0.024492017,0,ADANIPORTS
11-12-2007,1081,1089,1041,1047.65,810464,-0.025804352,0,ADANIPORTS
12-12-2007,1032,1065,1016,1036.8,744799,-0.010356512,0,ADANIPORTS
13-12-2007,1040,1150,1030.25,1129.95,3067687,0.08984375,1,ADANIPORTS
14-12-2007,1139.9,1140,1101.1,1110.5,1070737,-0.017213151,0,ADANIPORTS
17-12-2007,1140,1168,1021.5,1044.25,1404955,-0.059657812,0,ADANIPORTS
18-12-2007,1045,1109.9,1031.55,1074.95,1226984,0.02939909,1,ADANIPORTS
19-12-2007,1091,1116,1046.3,1066.9,845666,-0.00748872,0,ADANIPORTS
20-12-2007,1083.5,1083.5,1051,1060.2,623288,-0.006279876,0,ADANIPORTS
24-12-2007,1095,1192,1085.25,1156.8,2060892,0.091114884,1,ADANIPORTS
26-12-2007,1175,1214,1148,1199.9,1467031,0.037257953,1,ADANIPORTS
27-12-2007,1215,1240,1204,1211.65,977495,0.009792483,1,ADANIPORTS
28-12-2007,1189.4,1274,1175,1249.1,1164138,0.030908266,1,ADANIPORTS
31-12-2007,1263.35,1295,1261,1268.8,737249,0.015771355,1,ADANIPORTS
01-01-2008,1279,1319,1263.7,1296.85,491348,0.022107503,1,ADANIPORTS
02-01-2008,1310.25,1324,1270,1307.45,703815,0.008173652,1,ADANIPORTS
03-01-2008,1305,1314.7,1261.15,1275.8,505058,-0.024207427,0,ADANIPORTS
04-01-2008,1278.8,1294.8,1233,1240.35,550795,-0.027786487,0,ADANIPORTS
07-01-2008,1240,1278.9,1215,1227.25,630963,-0.010561535,0,ADANIPORTS
08-01-2008,1240,1255,1185,1204.8,530499,-0.018292931,0,ADANIPORTS
09-01-2008,1200,1210,1151,1180.25,627507,-0.020376826,0,ADANIPORTS
10-01-2008,1185,1199.8,1110,1121.55,438806,-0.049735226,0,ADANIPORTS
11-01-2008,1128,1130,1063,1085.85,616938,-0.031830948,0,ADANIPORTS
14-01-2008,1082.4,1082.4,1031.1,1035.15,835916,-0.046691532,0,ADANIPORTS
15-01-2008,1045.6,1078.7,1036.05,1049.55,830493,0.013911027,1,ADANIPORTS
16-01-2008,1046,1064,1000,1030.4,816188,-0.018245915,0,ADANIPORTS
17-01-2008,1050,1053.5,1011,1020.9,336003,-0.00921972,0,ADANIPORTS
18-01-2008,1010,1072,974.9,994.6,676854,-0.025761583,0,ADANIPORTS
21-01-2008,995,1005,795.7,825.05,788623,-0.170470541,0,ADANIPORTS
22-01-2008,700,810,660.05,735.55,546161,-0.108478274,0,ADANIPORTS
23-01-2008,760,881.9,760,857,535462,0.16511454,1,ADANIPORTS
24-01-2008,875,935,812,814.15,511017,-0.05,0,ADANIPORTS
25-01-2008,820,883,820,865.7,404045,0.06331757,1,ADANIPORTS
28-01-2008,835,835,783.2,820.8,467052,-0.051865542,0,ADANIPORTS
29-01-2008,840,860,820.05,840.75,220070,0.024305556,1,ADANIPORTS
30-01-2008,849.8,864,822.25,830.45,286190,-0.012250966,0,ADANIPORTS
